Carimbo de data/hora,Coluna 1,Faixa etária,Escolaridade,Visão,É daltônico (Percepção de cor)?,Familiaridade do usuário com computação,Familiaridade com visualização da informação
18/12/2025 13:50:09,P-246,30 a 39 anos,Doutorado,Acuidade visual normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.",PRÁTICO ACADÊMICO (Sala de aula): Já criei visualizações como parte de exercícios ou trabalhos de disciplinas.
18/12/2025 14:30:49,P-3611,17 a 20 anos,Nível Superior (Em andamento),Acuidade visual corrigida para o normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.",NENHUM CONTATO: Nunca estudei nem trabalhei com o tema.
18/12/2025 14:50:09,P-9164,21 a 24 anos,Nível Superior (Em andamento),Acuidade visual ainda por corrigir,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","APENAS TEÓRICO: Já estudei o conceito (sozinho, em aulas, palestras ou leituras), mas nunca criei visualizações técnicas."
18/12/2025 15:13:26,P-1796,30 a 39 anos,Doutorado,Acuidade visual corrigida para o normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","APENAS TEÓRICO: Já estudei o conceito (sozinho, em aulas, palestras ou leituras), mas nunca criei visualizações técnicas."
18/12/2025 16:26:34,P-9591,30 a 39 anos,Mestrado,Acuidade visual ainda por corrigir,Não,"INTERMEDIÁRIO: Utilizo bem editores de texto, planilhas e organizo arquivos/pastas.",NENHUM CONTATO: Nunca estudei nem trabalhei com o tema.
18/12/2025 17:11:06,P-9428,40 anos ou mais,Mestrado (Em andamento),Acuidade visual normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","PRÁTICO AVANÇADO (Pesquisa/TCC): Já desenvolvi visualizações para projetos de pesquisa, ou atuo ou já atuei no mercado de trabalho desenvolvendo ou analisando visualizações de dados."
18/12/2025 17:37:16,P-5366,40 anos ou mais,Mestrado (Em andamento),Acuidade visual ainda por corrigir,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","PRÁTICO AVANÇADO (Pesquisa/TCC): Já desenvolvi visualizações para projetos de pesquisa, ou atuo ou já atuei no mercado de trabalho desenvolvendo ou analisando visualizações de dados."
19/12/2025 10:21:51,P-9585,30 a 39 anos,Doutorado (Em andamento),Acuidade visual normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","PRÁTICO AVANÇADO (Pesquisa/TCC): Já desenvolvi visualizações para projetos de pesquisa, ou atuo ou já atuei no mercado de trabalho desenvolvendo ou analisando visualizações de dados."
19/12/2025 10:52:27,P-261,30 a 39 anos,Nível Superior,Acuidade visual corrigida para o normal,Não sei (nunca fiz o teste),"INTERMEDIÁRIO: Utilizo bem editores de texto, planilhas e organizo arquivos/pastas.",NENHUM CONTATO: Nunca estudei nem trabalhei com o tema.
19/12/2025 10:56:03,P-8864,17 a 20 anos,Nível Superior (Em andamento),Acuidade visual corrigida para o normal,Não,"BÁSICO: Apenas navego na internet, leio e-mails e consumo vídeos/notícias.",NENHUM CONTATO: Nunca estudei nem trabalhei com o tema.
19/12/2025 11:27:03,P-1661,21 a 24 anos,Mestrado (Em andamento),Acuidade visual normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","PRÁTICO AVANÇADO (Pesquisa/TCC): Já desenvolvi visualizações para projetos de pesquisa, ou atuo ou já atuei no mercado de trabalho desenvolvendo ou analisando visualizações de dados."
19/12/2025 11:51:10,P-30,21 a 24 anos,Mestrado (Em andamento),Acuidade visual corrigida para o normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","APENAS TEÓRICO: Já estudei o conceito (sozinho, em aulas, palestras ou leituras), mas nunca criei visualizações técnicas."
19/12/2025 12:12:57,P-4048,21 a 24 anos,Nível Superior (Em andamento),Acuidade visual ainda por corrigir,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.",NENHUM CONTATO: Nunca estudei nem trabalhei com o tema.
19/12/2025 13:18:00,P-8225,21 a 24 anos,Nível Superior (Em andamento),Acuidade visual normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.","APENAS TEÓRICO: Já estudei o conceito (sozinho, em aulas, palestras ou leituras), mas nunca criei visualizações técnicas."
19/12/2025 14:10:33,P-3538,21 a 24 anos,Nível Superior (Em andamento),Acuidade visual corrigida para o normal,Não,"ESPECIALISTA: Entendo a lógica por trás dos sistemas, sei programar (escrever código) ou gerenciar configurações avançadas de hardware e redes.",PRÁTICO ACADÊMICO (Sala de aula): Já criei visualizações como parte de exercícios ou trabalhos de disciplinas.